message,timestamp,severity,tags,attributes
[7/7] RUN chmod +x worker_entrypoint.sh,2026-03-27T04:08:07.498211842Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:5a20fbd65943bc4f52b16bef705802fdac26492c7eda02d90a8cfded318f8a9f"",""inputs"":[""sha256:34b28fdb6c327bbdfb108846465b2bf82704818262ccd208e27150548d15fa46""],""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:07.479254562Z"",""type"":""vertex""}"
[7/7] RUN chmod +x worker_entrypoint.sh,2026-03-27T04:08:07.631080629Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-27T04:08:07.612147883Z"",""digest"":""sha256:5a20fbd65943bc4f52b16bef705802fdac26492c7eda02d90a8cfded318f8a9f"",""inputs"":[""sha256:34b28fdb6c327bbdfb108846465b2bf82704818262ccd208e27150548d15fa46""],""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:07.479254562Z"",""type"":""vertex""}"
[auth] sharing credentials for production-us-west2.railway-registry.com,2026-03-27T04:08:07.998722577Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""digest"":""sha256:6d801337bad8d4270eaae72806a7ba5869677128a2f466a5eddb5c506a8e56ed"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:07.998457746Z"",""type"":""vertex""}"
[auth] sharing credentials for production-us-west2.railway-registry.com,2026-03-27T04:08:07.998806411Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""completed"":""2026-03-27T04:08:07.998495542Z"",""digest"":""sha256:6d801337bad8d4270eaae72806a7ba5869677128a2f466a5eddb5c506a8e56ed"",""level"":""info"",""source"":""buildkit"",""started"":""2026-03-27T04:08:07.998457746Z"",""type"":""vertex""}"
[92mBuild time: 24.87 seconds[0m,2026-03-27T04:08:21.632644170Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-27T04:08:34.517529188Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
"[35m====================
Starting Healthcheck
====================
[0m",2026-03-27T04:08:34.517531368Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[37mPath: /health[0m,2026-03-27T04:08:34.517532034Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
[37mRetry window: 5m0s[0m,2026-03-27T04:08:34.517532562Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-03-27T04:08:34.517533317Z,info,"{""serviceId"":""0691a9a9-d0d0-49c0-b12e-d8ce74a31e4e"",""deploymentId"":null,""deploymentInstanceId"":null}","{""level"":""info""}"
